time,accx,accy,accz,pitch,roll,yaw
11.62,0.0017330646514892578,0.0029003024101257324,0.001090407371520996,0.5829357140713934,-0.7597428094307078,-0.8869295752439154
11.64,0.003394484519958496,0.0029832124710083008,0.0009309053421020508,0.5829801433461159,-0.760095427288418,-0.8868697435975451
11.66,0.0016184449195861816,0.003446817398071289,0.001703023910522461,0.5830236756669572,-0.7603145871041729,-0.8868913861678932
11.68,0.002238035202026367,0.00233614444732666,0.003047466278076172,0.5829727552421556,-0.7603735118840199,-0.8870452430121217
11.7,0.003064453601837158,0.0009722113609313965,0.002070605754852295,0.5829108014662888,-0.7603639806149566,-0.8872319025757959
11.72,0.0030646920204162598,0.0025056004524230957,0.0006381869316101074,0.5828284610531576,-0.760338062384576,-0.8874855861473128
11.74,0.0016970634460449219,0.0016652941703796387,0.003285527229309082,0.5827723659217562,-0.7603373900654651,-0.8877403001743889
11.76,0.0029206275939941406,0.002864241600036621,0.004170894622802734,0.5827280473822272,-0.7603143756723179,-0.8879892014314524
11.78,0.002415776252746582,0.002727985382080078,0.0030404329299926758,0.582747591643207,-0.7602235337982619,-0.8883133862286867
11.8,0.0018644928932189941,0.0022760629653930664,0.003622293472290039,0.5826449155522017,-0.760105504515873,-0.888499072405234
11.82,0.0033275485038757324,0.0024593472480773926,0.0010151863098144531,0.5826816162854187,-0.7600498738993818,-0.8883523726221371
11.84,0.0025677084922790527,0.0015497207641601562,0.0006911754608154297,0.5827618722522452,-0.7600800778745013,-0.8881392324711928
11.86,0.0027855634689331055,0.003896474838256836,0.003437638282775879,0.5828129755189134,-0.7600182286148511,-0.8880424070942624
11.88,0.0019712448120117188,0.0024602413177490234,0.0019258856773376465,0.5828838272154003,-0.7601037708014093,-0.887888651608462
11.9,0.0009982585906982422,0.0030016303062438965,0.0035352706909179688,0.5829291003429214,-0.7601128536255115,-0.8877715739191046
11.92,0.001277327537536621,0.002180337905883789,0.002446770668029785,0.5829323375552812,-0.7601726127971374,-0.8876077367148478
11.94,0.002375364303588867,0.0019111037254333496,0.0021851658821105957,0.5829388398393073,-0.7602513703501017,-0.887359618486312
11.96,0.0008135437965393066,0.0028128623962402344,0.0023720860481262207,0.5829406466276056,-0.7602435888234028,-0.8870807651944219
11.98,0.004162430763244629,0.003269195556640625,0.0012886524200439453,0.583012022447792,-0.7603002720383535,-0.8866826256663216
12,0.0026139020919799805,0.0013447999954223633,0.0008757114410400391,0.5830647160430472,-0.7603714993743315,-0.8862959167714255
12.02,0.0011052489280700684,0.002242565155029297,0.003199458122253418,0.5831166156504207,-0.7604073155507117,-0.8860963012188731
12.04,0.0023884177207946777,0.003396928310394287,0.0016203522682189941,0.5831467834804208,-0.7604790611731773,-0.8859644278716012
12.06,-0.0006273388862609863,0.0022841691970825195,0.002911210060119629,0.5831298166364314,-0.7605279353157399,-0.8860560364425675
12.08,-0.0007425546646118164,0.0032089948654174805,0.0034347176551818848,0.5831227195934803,-0.760736793404828,-0.886384450335356
12.1,0.0009367465972900391,0.0033513307571411133,0.004107952117919922,0.5830372145866474,-0.7611639126049482,-0.8868198277607346
12.12,0.002266228199005127,0.0013198256492614746,0.0029618144035339355,0.5829250890928234,-0.7613239795988698,-0.8874590042854493
12.14,0.0032266974449157715,0.0024653077125549316,0.0027655959129333496,0.5828532668963201,-0.76155531293643,-0.8879813074028583
12.16,0.009273707866668701,0.0025243163108825684,0.0055869221687316895,0.5826863645006792,-0.7613820868412605,-0.8883178063577577
12.18,0.007074952125549316,0.0012129545211791992,0.0012450218200683594,0.5825960684333964,-0.7612472527409395,-0.8882799145928669
12.2,0.004425644874572754,0.0010605454444885254,0.0009202957153320312,0.5826328457871307,-0.7612292900041647,-0.8879398788200417
12.22,0.0028844475746154785,0.0008113384246826172,0.0017897486686706543,0.5827729181292958,-0.761291861147091,-0.8873210153849745
12.24,0.002709031105041504,0.0031137466430664062,0.0025659799575805664,0.5830085849482342,-0.7615032161235907,-0.8865198903079488
12.26,0.0027564167976379395,0.0030205249786376953,0.00250244140625,0.583207647035791,-0.7615552479837282,-0.8857542847098897
12.28,0.002385437488555908,0.0011415481567382812,0.0013042092323303223,0.5834427497477663,-0.7616448230769377,-0.8849394251921963
